Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
1,2153,5,1,1,4
1,4281,5,1,1,5
1,2613,5,1,1,6
1,2333,5,1,1,7
1,1260,5,1,0,0
1,799,5,1,0,1
1,586,5,1,0,2
1,569,5,1,0,3
1,651,5,1,0,4
1,1353,5,1,0,5
1,933,5,1,0,6
1,889,5,1,0,7
1,1357,5,2,1,0
1,1193,5,2,1,1
1,440,5,2,1,2
1,483,5,2,1,3
1,439,5,2,1,4
1,880,5,2,1,5
1,415,5,2,1,6
1,193,5,2,1,7
1,503,5,2,0,0
1,475,5,2,0,1
1,152,5,2,0,2
1,165,5,2,0,3
1,199,5,2,0,4
1,423,5,2,0,5
1,122,5,2,0,6
1,39,5,2,0,7
1,2265,5,0,1,0
1,3502,5,0,1,1
1,3065,5,0,1,2
1,3277,5,0,1,3
1,3389,5,0,1,4
1,6988,5,0,1,5
1,4182,5,0,1,6
1,2914,5,0,1,7
1,352,5,0,0,0
1,693,5,0,0,1
1,829,5,0,0,2
1,1048,5,0,0,3
1,1220,5,0,0,4
1,2403,5,0,0,5
1,1033,5,0,0,6
1,794,5,0,0,7
1,18,5,4,1,0
1,681,5,4,1,1
1,1122,5,4,1,2
1,1496,5,4,1,3
1,1838,5,4,1,4
1,3622,5,4,1,5
1,2277,5,4,1,6
1,1744,5,4,1,7
1,10,5,4,0,0
1,418,5,4,0,1
1,736,5,4,0,2
1,967,5,4,0,3
1,1220,5,4,0,4
1,2304,5,4,0,5
1,1370,5,4,0,6
1,709,5,4,0,7
1,105,5,3,1,0
1,452,5,3,1,1
1,562,5,3,1,2
1,467,5,3,1,3
1,393,5,3,1,4
1,755,5,3,1,5
1,458,5,3,1,6
1,263,5,3,1,7
1,32,5,3,0,0
1,127,5,3,0,1
1,109,5,3,0,2
1,87,5,3,0,3
1,91,5,3,0,4
1,135,5,3,0,5
1,103,5,3,0,6
1,65,5,3,0,7
1,1441,0,1,1,0
1,1253,0,1,1,1
1,823,0,1,1,2
1,703,0,1,1,3
1,662,0,1,1,4
1,1046,0,1,1,5
1,515,0,1,1,6
1,277,0,1,1,7
1,182,0,1,0,0
1,151,0,1,0,1
1,106,0,1,0,2
1,113,0,1,0,3
1,136,0,1,0,4
1,223,0,1,0,5
1,80,0,1,0,6
1,76,0,1,0,7
1,275,0,2,1,0
1,236,0,2,1,1
1,122,0,2,1,2
1,105,0,2,1,3
1,121,0,2,1,4
1,169,0,2,1,5
1,64,0,2,1,6
1,28,0,2,1,7
1,30,0,2,0,0
1,30,0,2,0,1
1,21,0,2,0,2
1,35,0,2,0,3
1,28,0,2,0,4
1,56,0,2,0,5
1,13,0,2,0,6
1,2,0,2,0,7
1,772,0,0,1,0
1,1013,0,0,1,1
1,721,0,0,1,2
1,769,0,0,1,3
1,692,0,0,1,4
1,1358,0,0,1,5
1,654,0,0,1,6
1,288,0,0,1,7
1,45,0,0,0,0
1,67,0,0,0,1
1,78,0,0,0,2
1,107,0,0,0,3
1,131,0,0,0,4
1,255,0,0,0,5
1,107,0,0,0,6
1,63,0,0,0,7
1,2,0,4,1,0
1,94,0,4,1,1
1,154,0,4,1,2
1,244,0,4,1,3
1,284,0,4,1,4
1,621,0,4,1,5
1,343,0,4,1,6
1,202,0,4,1,7
1,0,0,4,0,0
1,31,0,4,0,1
1,63,0,4,0,2
1,87,0,4,0,3
1,123,0,4,0,4
1,235,0,4,0,5
1,110,0,4,0,6
1,39,0,4,0,7
1,28,0,3,1,0
1,157,0,3,1,1
1,154,0,3,1,2
1,124,0,3,1,3
1,100,0,3,1,4
1,141,0,3,1,5
1,68,0,3,1,6
1,38,0,3,1,7
1,5,0,3,0,0
1,12,0,3,0,1
1,12,0,3,0,2
1,13,0,3,0,3
1,10,0,3,0,4
1,23,0,3,0,5
1,11,0,3,0,6
1,10,0,3,0,7
1,716,2,1,1,0
1,694,2,1,1,1
1,440,2,1,1,2
1,369,2,1,1,3
1,300,2,1,1,4
1,474,2,1,1,5
1,169,2,1,1,6
1,52,2,1,1,7
1,70,2,1,0,0
1,58,2,1,0,1
1,39,2,1,0,2
1,52,2,1,0,3
1,31,2,1,0,4
1,76,2,1,0,5
1,27,2,1,0,6
1,21,2,1,0,7
1,94,2,2,1,0
1,84,2,2,1,1
1,38,2,2,1,2
1,33,2,2,1,3
1,39,2,2,1,4
1,53,2,2,1,5
1,16,2,2,1,6
1,3,2,2,1,7
1,6,2,2,0,0
1,19,2,2,0,1
1,2,2,2,0,2
1,4,2,2,0,3
1,4,2,2,0,4
1,8,2,2,0,5
1,3,2,2,0,6
1,0,2,2,0,7
1,340,2,0,1,0
1,386,2,0,1,1
1,279,2,0,1,2
1,247,2,0,1,3
1,240,2,0,1,4
1,412,2,0,1,5
1,180,2,0,1,6
1,72,2,0,1,7
1,13,2,0,0,0
1,24,2,0,0,1
1,17,2,0,0,2
1,14,2,0,0,3
1,24,2,0,0,4
1,50,2,0,0,5
1,10,2,0,0,6
1,10,2,0,0,7
1,1,2,4,1,0
1,29,2,4,1,1
1,43,2,4,1,2
1,52,2,4,1,3
1,47,2,4,1,4
1,128,2,4,1,5
1,62,2,4,1,6
1,30,2,4,1,7
1,0,2,4,0,0
1,7,2,4,0,1
1,6,2,4,0,2
1,19,2,4,0,3
1,9,2,4,0,4
1,30,2,4,0,5
1,23,2,4,0,6
1,4,2,4,0,7
1,30,2,3,1,0
1,53,2,3,1,1
1,75,2,3,1,2
1,50,2,3,1,3
1,51,2,3,1,4
1,85,2,3,1,5
1,30,2,3,1,6
1,4,2,3,1,7
1,3,2,3,0,0
1,2,2,3,0,1
1,7,2,3,0,2
1,5,2,3,0,3
1,4,2,3,0,4
1,4,2,3,0,5
1,3,2,3,0,6
1,2,2,3,0,7
1,433,3,1,1,0
1,437,3,1,1,1
1,267,3,1,1,2
1,194,3,1,1,3
1,160,3,1,1,4
1,245,3,1,1,5
1,76,3,1,1,6
1,31,3,1,1,7
1,40,3,1,0,0
1,37,3,1,0,1
1,18,3,1,0,2
1,30,3,1,0,3
1,22,3,1,0,4
1,30,3,1,0,5
1,8,3,1,0,6
1,11,3,1,0,7
1,44,3,2,1,0
1,37,3,2,1,1
1,22,3,2,1,2
1,18,3,2,1,3
1,8,3,2,1,4
1,17,3,2,1,5
1,3,3,2,1,6
1,3,3,2,1,7
1,3,3,2,0,0
1,5,3,2,0,1
1,0,3,2,0,2
1,1,3,2,0,3
1,1,3,2,0,4
1,2,3,2,0,5
1,2,3,2,0,6
1,0,3,2,0,7
1,226,3,0,1,0
1,202,3,0,1,1
