I alt;Uoplyst uddannelse;Kvinder;20-24 år;96;155;120;146;145;101;127;101;91;85;88;104;118
I alt;Uoplyst uddannelse;Kvinder;25-29 år;116;136;161;168;188;174;173;181;172;199;260;337;405
I alt;Uoplyst uddannelse;Kvinder;30-34 år;94;108;137;153;187;141;166;174;181;193;257;282;350
I alt;Uoplyst uddannelse;Kvinder;35-39 år;95;112;119;144;159;116;114;129;145;149;169;226;298
I alt;Uoplyst uddannelse;Kvinder;40-49 år;158;173;199;220;222;213;233;263;231;248;250;331;396
I alt;Uoplyst uddannelse;Kvinder;50-59 år;87;120;122;142;138;154;162;170;208;147;152;186;239
I alt;Uoplyst uddannelse;Kvinder;60 år og derover;63;78;75;91;77;92;87;99;79;98;108;134;129
Ingen tilbagefald;I alt;I alt;I alt;95062;99618;101997;107848;108520;110283;113355;111999;109929;102153;98632;108111;121649
Ingen tilbagefald;I alt;I alt;15-19 år;8689;9629;8685;8954;8953;8441;8599;7242;7663;7665;7797;8840;8410
Ingen tilbagefald;I alt;I alt;20-24 år;10841;11442;11013;11981;12850;13572;13544;12926;12207;11850;11902;12976;13314
Ingen tilbagefald;I alt;I alt;25-29 år;9496;9751;9144;9695;10170;10181;10970;11034;10756;10293;10766;11618;13779
Ingen tilbagefald;I alt;I alt;30-34 år;10566;10610;10439;10355;10154;9795;10134;9988;9635;8995;9119;10151;12477
Ingen tilbagefald;I alt;I alt;35-39 år;11285;11593;12053;12224;11910;11566;11506;11303;10387;9346;8689;9518;10871
Ingen tilbagefald;I alt;I alt;40-49 år;22160;23144;24372;25964;25789;25520;26679;26690;25221;21910;19947;21139;24469
Ingen tilbagefald;I alt;I alt;50-59 år;12843;13506;15069;16406;16817;17878;18862;19467;20256;18995;17486;19142;21935
Ingen tilbagefald;I alt;I alt;60 år og derover;9182;9943;11222;12269;11877;13330;13061;13349;13804;13099;12926;14727;16394
Ingen tilbagefald;I alt;Mænd;I alt;70524;73645;74314;79225;80429;80379;82915;81686;80201;74770;72903;79919;88519
