Periode,Antal,Recidivhændelser,Tidligere_domme,Varighed_til_tilbagefald,Køn,Alder
0,0,1,3,3,1,6
0,0,1,3,3,0,0
0,0,1,3,3,0,1
0,0,1,3,3,0,2
0,0,1,3,3,0,3
0,0,1,3,3,0,4
0,0,1,3,3,0,5
0,0,1,3,3,0,6
0,0,1,4,3,1,0
0,0,1,4,3,1,1
0,0,1,4,3,1,2
0,0,1,4,3,1,3
0,0,1,4,3,1,4
0,0,1,4,3,1,5
0,0,1,4,3,1,6
0,0,1,4,3,0,0
0,0,1,4,3,0,1
0,0,1,4,3,0,2
0,0,1,4,3,0,3
0,0,1,4,3,0,4
0,0,1,4,3,0,5
0,0,1,4,3,0,6
0,0,1,5,3,1,0
0,0,1,5,3,1,1
0,0,1,5,3,1,2
0,0,1,5,3,1,3
0,0,1,5,3,1,4
0,0,1,5,3,1,5
0,0,1,5,3,1,6
0,0,1,5,3,0,0
0,0,1,5,3,0,1
0,0,1,5,3,0,2
0,0,1,5,3,0,3
0,0,1,5,3,0,4
0,0,1,5,3,0,5
0,0,1,5,3,0,6
0,0,1,1,3,1,0
0,0,1,1,3,1,1
0,0,1,1,3,1,2
0,0,1,1,3,1,3
0,0,1,1,3,1,4
0,0,1,1,3,1,5
0,0,1,1,3,1,6
0,0,1,1,3,0,0
0,0,1,1,3,0,1
0,0,1,1,3,0,2
0,0,1,1,3,0,3
0,0,1,1,3,0,4
0,0,1,1,3,0,5
0,0,1,1,3,0,6
0,0,5,6,2,1,0
0,0,5,6,2,1,1
0,0,5,6,2,1,2
0,0,5,6,2,1,3
0,0,5,6,2,1,4
0,0,5,6,2,1,5
0,0,5,6,2,1,6
0,0,5,6,2,0,0
0,0,5,6,2,0,1
0,0,5,6,2,0,2
0,0,5,6,2,0,3
0,0,5,6,2,0,4
0,0,5,6,2,0,5
0,0,5,6,2,0,6
0,0,5,0,2,1,0
0,0,5,0,2,1,1
0,0,5,0,2,1,2
0,0,5,0,2,1,3
0,0,5,0,2,1,4
0,0,5,0,2,1,5
0,0,5,0,2,1,6
0,0,5,0,2,0,0
0,0,5,0,2,0,1
0,0,5,0,2,0,2
0,0,5,0,2,0,3
0,0,5,0,2,0,4
0,0,5,0,2,0,5
0,0,5,0,2,0,6
0,0,5,2,2,1,0
0,0,5,2,2,1,1
0,0,5,2,2,1,2
0,0,5,2,2,1,3
0,0,5,2,2,1,4
0,0,5,2,2,1,5
0,0,5,2,2,1,6
0,0,5,2,2,0,0
0,0,5,2,2,0,1
0,0,5,2,2,0,2
0,0,5,2,2,0,3
0,0,5,2,2,0,4
0,0,5,2,2,0,5
0,0,5,2,2,0,6
0,0,5,3,2,1,0
0,0,5,3,2,1,1
0,0,5,3,2,1,2
0,0,5,3,2,1,3
0,0,5,3,2,1,4
0,0,5,3,2,1,5
0,0,5,3,2,1,6
0,0,5,3,2,0,0
0,0,5,3,2,0,1
0,0,5,3,2,0,2
0,0,5,3,2,0,3
0,0,5,3,2,0,4
0,0,5,3,2,0,5
0,0,5,3,2,0,6
0,0,5,4,2,1,0
0,0,5,4,2,1,1
0,0,5,4,2,1,2
0,0,5,4,2,1,3
0,0,5,4,2,1,4
0,0,5,4,2,1,5
0,0,5,4,2,1,6
0,0,5,4,2,0,0
0,0,5,4,2,0,1
0,0,5,4,2,0,2
0,0,5,4,2,0,3
0,0,5,4,2,0,4
0,0,5,4,2,0,5
0,0,5,4,2,0,6
0,0,5,5,2,1,0
0,0,5,5,2,1,1
0,0,5,5,2,1,2
0,0,5,5,2,1,3
0,0,5,5,2,1,4
0,0,5,5,2,1,5
0,0,5,5,2,1,6
0,0,5,5,2,0,0
0,0,5,5,2,0,1
0,0,5,5,2,0,2
0,0,5,5,2,0,3
0,0,5,5,2,0,4
0,0,5,5,2,0,5
0,0,5,5,2,0,6
0,0,5,1,2,1,0
0,0,5,1,2,1,1
0,0,5,1,2,1,2
0,0,5,1,2,1,3
0,0,5,1,2,1,4
0,0,5,1,2,1,5
0,0,5,1,2,1,6
0,0,5,1,2,0,0
0,0,5,1,2,0,1
0,0,5,1,2,0,2
0,0,5,1,2,0,3
0,0,5,1,2,0,4
0,0,5,1,2,0,5
0,0,5,1,2,0,6
0,283,0,6,2,1,0
0,147,0,6,2,1,1
0,187,0,6,2,1,2
0,148,0,6,2,1,3
0,319,0,6,2,1,4
0,180,0,6,2,1,5
0,102,0,6,2,1,6
0,44,0,6,2,0,0
0,44,0,6,2,0,1
0,65,0,6,2,0,2
0,68,0,6,2,0,3
0,95,0,6,2,0,4
0,51,0,6,2,0,5
0,28,0,6,2,0,6
0,136,0,0,2,1,0
0,139,0,0,2,1,1
0,120,0,0,2,1,2
0,115,0,0,2,1,3
0,205,0,0,2,1,4
0,108,0,0,2,1,5
0,68,0,0,2,1,6
0,20,0,0,2,0,0
0,8,0,0,2,0,1
0,23,0,0,2,0,2
0,27,0,0,2,0,3
0,39,0,0,2,0,4
0,14,0,0,2,0,5
0,10,0,0,2,0,6
0,112,0,2,2,1,0
0,73,0,2,2,1,1
0,77,0,2,2,1,2
0,75,0,2,2,1,3
0,151,0,2,2,1,4
0,67,0,2,2,1,5
0,27,0,2,2,1,6
0,8,0,2,2,0,0
0,7,0,2,2,0,1
0,8,0,2,2,0,2
0,7,0,2,2,0,3
0,17,0,2,2,0,4
0,9,0,2,2,0,5
0,3,0,2,2,0,6
0,80,0,3,2,1,0
0,53,0,3,2,1,1
0,48,0,3,2,1,2
0,46,0,3,2,1,3
0,69,0,3,2,1,4
0,19,0,3,2,1,5
